prompt_id,prompt,q_text,q_image,q_audio,q_combined,judge_mean,judge_grade,text_score,image_score,lr_pred,nb_p_good,nb_p_good_loo,lr_gr,lr_gr_loo
155,"A dog blowing glass ornaments in a cluttered workshop, in a whimsical ",0.848333,0.44867262937887503,0.8789322728888751,0.7671,3.75,0.6875,4.5,3.0,3.762,0.3513,0.3535,0.6909,0.7092
156,A tiger acrobat on a wooden bridge,0.846665,0.473343377613875,0.8682151021198751,0.7703,3.5,0.625,4.5,2.5,3.798,0.3685,0.3704,0.7173,0.7337
157,A llama skier on a rooftop at night,0.834457,0.4686572062,0.879711197952,0.7614,3.25,0.5625,4.0,2.5,3.7007,0.3175,0.319,0.6549,0.6747
158,"A wombat balancing on a tightrope, watercolor style",0.848788,0.406508644153875,0.865239779313875,0.7577,3.5,0.625,4.5,2.5,3.6615,0.2406,0.2483,0.5262,0.5638
159,A tiny wolf holding a vintage camera in a bustling market,0.8448,0.501223906109875,0.8790726297520001,0.7756,4.0,0.75,4.5,3.5,3.8529,0.489,0.4824,0.8728,0.8724
160,A cheerful donkey wizard with a slice of cake,0.829823,0.46407432475487503,0.876116624296875,0.7568,4.25,0.8125,4.5,4.0,3.6461,0.2692,0.2649,0.5811,0.5992
161,A tiny giraffe holding a jar of fireflies in a bamboo grove,0.848615,0.48239879589949997,0.872402291448875,0.7739,3.5,0.625,3.5,3.5,3.8378,0.4203,0.4228,0.7873,0.8002
162,A dolphin brewing coffee at dawn at a countryside fair,0.839827,0.472158452638,0.8938659936348751,0.767,3.5,0.625,4.5,2.5,3.7621,0.3991,0.4027,0.7507,0.7671
163,A lamb baker in a lantern-lit alley,0.832111,0.48989515687549995,0.860137581633875,0.7627,2.75,0.4375,3.0,2.5,3.7193,0.3054,0.3091,0.621,0.6438
164,A otter reading under an umbrella in a cozy library,0.838847,0.4855550929195,0.8861090466479999,0.7685,4.25,0.8125,3.5,5.0,3.7739,0.4145,0.41,0.7799,0.7873
165,A crow teacher brewing coffee at dawn,0.815614,0.475238212088,0.8490753094395,0.747,3.5,0.625,4.0,3.0,3.5425,0.1403,0.1484,0.3037,0.3608
166,"A turtle playing a tiny violin, in a vintage storybook style",0.834271,0.463547356658875,0.874412544503875,0.7598,3.75,0.6875,4.0,3.5,3.6815,0.2905,0.2919,0.6134,0.6355
167,A dragonfly building a sandcastle in an autumn park,0.840808,0.4715850449875,0.874857482078875,0.7662,4.0,0.75,4.5,3.5,3.7512,0.3501,0.3465,0.6996,0.7125
168,A tiny bat holding a stack of books in a lavender meadow,0.845251,0.44043572685550003,0.8833124616755,0.7635,4.5,0.875,4.5,4.5,3.7184,0.3315,0.3269,0.6606,0.6744
169,A cat climbing a snowy peak at a mountain lake at sunrise,0.838636,0.497868647712,0.8833617615555,0.7707,4.25,0.8125,4.5,4.0,3.7976,0.4498,0.444,0.8246,0.828
170,A chinchilla juggler on a train platform,0.849003,0.46105494671799996,0.873251280621875,0.7698,3.5,0.625,4.0,3.0,3.7924,0.365,0.3672,0.7124,0.7296
171,"A tiger building a birdhouse in a bustling market, in soft pastel colo",0.852555,0.48071226193949995,0.8825350608955,0.7771,3.5,0.625,4.5,2.5,3.8737,0.4674,0.4715,0.8446,0.8561
172,A beaver botanist watering a rooftop garden,0.836307,0.43312167198199997,0.850341539009875,0.7532,4.25,0.8125,4.0,4.5,3.6035,0.1744,0.1675,0.3905,0.412
173,A tiny bumblebee holding an old brass compass on a foggy harbor,0.847625,0.4611903391755,0.882198511118,0.7695,3.75,0.6875,4.5,3.0,3.7876,0.3849,0.3871,0.739,0.7544
174,A lamb dj on a rooftop at night,0.822764,0.47114348365987496,0.8829113407395001,0.7537,3.5,0.625,3.5,3.5,3.6167,0.2578,0.2613,0.5592,0.588
175,A penguin and a chameleon feeding pigeons in a plaza,0.835577,0.4446823949875,0.878232742538875,0.7571,3.5,0.625,3.5,3.5,3.6525,0.2744,0.2759,0.579,0.6033
176,A squirrel and a giraffe tending a beehive,0.84958,0.470635624768,0.874810187502,0.7723,4.25,0.8125,4.5,4.0,3.8164,0.3976,0.3929,0.7578,0.7662
177,A rhino writing a letter in a lantern-lit alley,0.844974,0.46699982390199996,0.8638364245968749,0.7675,3.75,0.6875,4.5,3.0,3.7656,0.3282,0.3298,0.6573,0.677
178,A cheerful axolotl locksmith with a stack of books,0.841464,0.48994091213987506,0.834390942142,0.7676,3.5,0.625,4.5,2.5,3.7723,0.2186,0.2279,0.4885,0.532
179,A tiny spider holding a paper airplane in a moonlit garden,0.850097,0.477408465888,0.9043246346875001,0.7762,3.75,0.6875,4.5,3.0,3.8625,0.4792,0.4908,0.8534,0.8728
180,A cheerful wombat locksmith with a ball of yarn,0.838616,0.46007462218749995,0.859861664996875,0.7612,3.25,0.5625,4.0,2.5,3.6981,0.266,0.2674,0.5595,0.5849
181,A tiny donkey holding a wooden music box in a bamboo grove,0.851432,0.46325816093550004,0.8943267321755001,0.7735,3.75,0.6875,4.5,3.0,3.8322,0.4369,0.4423,0.7997,0.8152
182,A crab folding origami cranes under a starry sky,0.821102,0.470861142621875,0.870258195358,0.7515,4.0,0.75,4.5,3.5,3.587,0.2176,0.2039,0.4882,0.4938
183,A cheerful dragonfly fencer with a slice of cake,0.836622,0.45343268227487504,0.900435907179875,0.7612,3.0,0.5,2.5,3.5,3.7055,0.339,0.3454,0.6657,0.6909
184,A fox and a pufferfish surfing a big wave,0.839813,0.4872609063875,0.8701554055468751,0.7684,2.75,0.4375,2.5,3.0,3.7801,0.3771,0.3812,0.7333,0.7491
185,"A shark building a sandcastle, in a dreamy haze",0.819285,0.4433315365355,0.868236256288875,0.7444,3.0,0.5,2.5,3.5,3.5193,0.163,0.1674,0.3647,0.409
186,A tiny piglet holding a jar of fireflies on a cliff overlooking the se,0.85105,0.46919231947549994,0.8712474996398749,0.7728,4.25,0.8125,4.5,4.0,3.8214,0.3897,0.3843,0.7451,0.7534
187,A tiny ladybug holding a paper lantern in a desert at noon,0.827826,0.44950172831387497,0.8711835975180001,0.752,4.25,0.8125,4.5,4.0,3.5928,0.2215,0.2167,0.4904,0.5119
188,A llama florist flying a hot air balloon,0.834974,0.46023609836799995,0.8903050443155001,0.7608,3.5,0.625,4.5,2.5,3.6934,0.3304,0.3328,0.6598,0.6804
189,"A shark reading tarot cards in a moonlit garden, photorealistic",0.831659,0.490960819552,0.885158358671875,0.7644,3.75,0.6875,4.5,3.0,3.7318,0.3813,0.3841,0.7375,0.7539
190,A cheerful shark jeweler with a paper lantern,0.833981,0.4729933260795,0.8576498928795,0.7604,3.25,0.5625,4.0,2.5,3.6896,0.2622,0.2638,0.5522,0.5782
191,A hamster chasing fireflies in a misty valley,0.840285,0.45609576318887496,0.8761378968879999,0.7627,4.25,0.8125,4.5,4.0,3.7121,0.3154,0.3119,0.6457,0.6617
192,A chinchilla mountaineer photographing the moon,0.845065,0.48989272622487495,0.8594495053548751,0.772,4.5,0.875,4.0,5.0,3.8098,0.3785,0.3734,0.7227,0.7327
193,A dolphin and a beetle carving a wooden spoon,0.830345,0.4594674886155,0.8697564059499999,0.7558,3.75,0.6875,4.5,3.0,3.6374,0.2481,0.2495,0.5407,0.5674
194,A hippo and a beetle skateboarding down a hill,0.839047,0.46373197489949997,0.8717951769548751,0.7631,3.5,0.625,4.5,2.5,3.7181,0.3121,0.3135,0.6428,0.6632
195,A kangaroo and a seahorse climbing a snowy peak,0.853572,0.49013532399887494,0.8797803988875,0.7796,3.75,0.6875,4.5,3.0,3.8996,0.4964,0.5018,0.8809,0.8917
196,A tiny peacock holding an old brass compass at a countryside fair,0.844961,0.43888574410987496,0.8814122797388749,0.7629,3.5,0.625,4.0,3.0,3.7161,0.3226,0.3245,0.648,0.6686
197,A alpaca violinist exploring a cave,0.831103,0.486669237328875,0.8723131564875,0.7622,3.5,0.625,3.0,4.0,3.709,0.3247,0.3267,0.6652,0.685
198,"A goose building a sandcastle, in a vintage storybook style",0.82908,0.4616306968,0.855304132348875,0.7543,4.0,0.75,4.5,3.5,3.6196,0.2047,0.1995,0.4481,0.4711
199,A tiny butterfly holding a basket of apples in a lavender meadow,0.846642,0.4439383874395,0.882983658368,0.7652,4.5,0.875,4.5,4.5,3.7372,0.3443,0.3399,0.6794,0.6924
200,A tiny badger holding a bouquet of wildflowers in a sunflower field,0.850754,0.45111266688487495,0.880210242478,0.7695,4.25,0.8125,4.0,4.5,3.7848,0.3717,0.3664,0.7186,0.7284
201,A mole lighthouse keeper climbing a snowy peak,0.8395,0.4287018742755,0.8651668915180001,0.7556,3.5,0.625,4.5,2.5,3.6371,0.2343,0.2362,0.5059,0.5355
202,A newt blacksmith in a snowy village,0.829823,0.48592064710487504,0.875240240028875,0.7613,2.5,0.375,2.5,2.5,3.7069,0.3219,0.3268,0.6628,0.6829
203,A hedgehog magician in a sunflower field,0.834873,0.489098889721875,0.8810994288320001,0.766,4.5,0.875,4.5,4.5,3.7448,0.3843,0.3799,0.7459,0.7554
204,"A shark flying a kite in a storm, watercolor style",0.848096,0.46067529871487506,0.889373676152,0.7702,3.25,0.5625,4.0,2.5,3.7985,0.4047,0.4077,0.7602,0.7753
205,A tiny dolphin holding a small telescope in an autumn park,0.845312,0.4725955883995,0.8987156969875,0.7714,3.25,0.5625,3.5,3.0,3.8131,0.4389,0.4449,0.7998,0.816
206,A duck and a hedgehog dancing in the rain,0.843965,0.44662624195199996,0.8813457975138749,0.7637,3.75,0.6875,4.0,3.5,3.7247,0.3317,0.3334,0.6632,0.6826
207,A cheerful lemur paramedic with a glowing lantern,0.840314,0.4827802200795,0.888354834622,0.7692,4.0,0.75,3.5,4.5,3.7825,0.4213,0.4165,0.7858,0.7925
208,"A shark repairing a pocket watch on a wooden bridge, watercolor style",0.84576,0.43553003608799995,0.8818354298998751,0.7628,3.25,0.5625,4.0,2.5,3.7167,0.3215,0.3237,0.6458,0.6668
209,"A axolotl conducting an orchestra, in warm golden light",0.82568,0.448254221103875,0.817888121144875,0.7464,3.75,0.6875,4.5,3.0,3.529,0.0522,0.0637,0.0046,0.1238
210,A snail baking sourdough in a coral reef,0.838905,0.3968386353595,0.872102433794875,0.7491,3.0,0.5,3.5,2.5,3.5732,0.2119,0.2238,0.4739,0.523
211,"A ant sketching in a cafe on a foggy harbor, in a cozy hand-drawn styl",0.839976,0.46197382648800006,0.8600568800355001,0.7626,3.5,0.625,4.0,3.0,3.7125,0.2776,0.2791,0.5783,0.6027
212,A gecko weaver folding origami cranes,0.829863,0.445263240393875,0.8806709650554999,0.7533,3.75,0.6875,4.5,3.0,3.6093,0.2489,0.2505,0.5371,0.5642
213,A cheerful ferret referee with a ball of yarn,0.833556,0.46850296537187497,0.870666110462,0.7601,4.5,0.875,4.5,4.5,3.6821,0.2872,0.2837,0.6075,0.6255
214,"A chinchilla conducting an orchestra in a lavender meadow, watercolor ",0.841941,0.48348282100487494,0.8617585982448751,0.7686,3.5,0.625,4.0,3.0,3.7789,0.3502,0.3521,0.687,0.7052
215,A robin gardening on a balcony in a bustling market,0.846094,0.473373154219875,0.8661987406720001,0.7698,3.5,0.625,4.0,3.0,3.792,0.3589,0.3607,0.7026,0.7198
216,A tiny llama holding a stack of books under a starry sky,0.846585,0.461628096958,0.866209518702,0.7677,4.25,0.8125,4.0,4.5,3.7655,0.3314,0.3276,0.6628,0.6776
217,"A beetle repairing a pocket watch, in a whimsical cartoon style",0.83386,0.4326076704395,0.873555372448,0.753,4.0,0.75,4.5,3.5,3.6051,0.2361,0.2311,0.5106,0.5311
218,A zebra jeweler in a greenhouse,0.840891,0.455382971968875,0.8675481010998749,0.7624,3.25,0.5625,3.5,3.0,3.711,0.2929,0.2943,0.6073,0.6298
219,A cheerful hamster astronaut with a wooden music box,0.835347,0.463013783573875,0.851001369272,0.7588,3.75,0.6875,4.5,3.0,3.6702,0.2215,0.2233,0.4793,0.5105
220,A tiny lobster holding a bunch of balloons in a neon nightclub,0.846131,0.44563720714487504,0.864114935246875,0.7639,4.5,0.875,4.5,4.5,3.7214,0.2884,0.2845,0.5958,0.6139
221,A jellyfish ranger gardening on a balcony,0.822782,0.4582897595995,0.8712986091180001,0.7502,2.75,0.4375,2.5,3.0,3.5844,0.2074,0.2129,0.4667,0.5007
222,A hippo violinist mixing a bubbling potion,0.839781,0.454920156923875,0.876578176453875,0.7621,3.25,0.5625,4.0,2.5,3.7081,0.3115,0.313,0.6396,0.6603
223,A axolotl professor juggling glowing orbs,0.824136,0.48445930658987496,0.8314993155748751,0.7538,3.25,0.5625,4.0,2.5,3.6226,0.1244,0.1329,0.2761,0.3385
224,A raccoon riding a unicycle on a foggy harbor,0.847076,0.4762081952355,0.851875180444875,0.7701,4.5,0.875,4.5,4.5,3.7863,0.3105,0.3033,0.6263,0.6382
225,A tiny bumblebee holding a ball of yarn in a cluttered workshop,0.850328,0.47908371612187495,0.859401868059875,0.7735,3.75,0.6875,3.5,4.0,3.8325,0.3699,0.3728,0.7118,0.7298
226,A tiny elephant holding an old brass compass in an autumn park,0.834838,0.403206266113875,0.880363941438,0.748,4.25,0.8125,4.5,4.0,3.5435,0.2194,0.1948,0.4837,0.4694
227,A tiny lion holding a jar of fireflies in a desert at noon,0.849951,0.4452976796875,0.875917618603875,0.7674,3.75,0.6875,4.5,3.0,3.7647,0.3434,0.3459,0.679,0.6986
228,A cheerful elephant gardener with a pocket watch,0.842218,0.425748561113875,0.868077920558,0.7572,3.75,0.6875,4.0,3.5,3.6524,0.2513,0.2537,0.5359,0.5643
229,A rhino astronomer on a floating island,0.833329,0.474544702743875,0.8812189657795,0.7619,4.25,0.8125,4.5,4.0,3.7017,0.3295,0.3256,0.6724,0.6865
230,A tiny fox holding a glowing lantern under a starry sky,0.848402,0.473553401489875,0.8772212862,0.7723,4.5,0.875,4.0,5.0,3.8148,0.4071,0.4027,0.7714,0.7794
231,A seahorse juggler on a rainy street,0.836647,0.46579728924799996,0.8964676488148751,0.7636,3.75,0.6875,4.5,3.0,3.7224,0.3663,0.3707,0.7045,0.7248
232,"A dolphin carving a wooden spoon, in a vintage storybook style",0.845355,0.47351837721387496,0.8725137418755,0.7697,3.75,0.6875,4.5,3.0,3.7902,0.3753,0.377,0.7303,0.7458
233,A tiny duck holding a ball of yarn on a rooftop at night,0.846117,0.47864498718750004,0.8692934015288749,0.7711,4.25,0.8125,4.5,4.0,3.8033,0.3845,0.3805,0.7401,0.7504
234,A cheerful sloth cobbler with a bowl of ramen,0.828677,0.436186679298875,0.8444146860238749,0.7479,3.25,0.5625,4.0,2.5,3.5553,0.1284,0.1309,0.2794,0.3256
235,"A pony surfing a big wave on a train platform, in soft pastel colors",0.838681,0.47928975643550004,0.8576966167679999,0.7651,4.5,0.875,4.5,4.5,3.7357,0.3043,0.2999,0.6177,0.634
236,"A pony tuning a grand piano, in a vintage storybook style",0.830881,0.428544996098875,0.867232218448875,0.7495,3.5,0.625,4.0,3.0,3.5701,0.1999,0.2017,0.4413,0.4749
237,A tiny lion holding a paper airplane on a rainy street,0.849217,0.471145025319875,0.8580219764995001,0.771,4.0,0.75,4.5,3.5,3.802,0.3361,0.3309,0.6647,0.6774
238,A cheerful sloth knight with a jar of fireflies,0.832992,0.523211996878,0.843700865923875,0.7691,3.75,0.6875,4.0,3.5,3.7843,0.3354,0.3546,0.6673,0.7088
239,A lemur and a lion racing a paper airplane,0.839578,0.49136650000000004,0.8611908395968749,0.7685,3.25,0.5625,4.0,2.5,3.7794,0.3596,0.3622,0.6989,0.7171
240,A mantis perfumer on a rooftop at night,0.824823,0.448331719023875,0.8891051218555001,0.7509,4.25,0.8125,3.5,5.0,3.5746,0.2418,0.233,0.5199,0.5337
241,A goose drummer in a candlelit cafe,0.825458,0.453668700379875,0.8685347615554999,0.751,3.0,0.5,2.5,3.5,3.5891,0.2088,0.2108,0.466,0.4984
242,A cheerful hummingbird jeweler with a steaming teacup,0.836334,0.44303240598750004,0.8772870200955,0.7572,3.75,0.6875,4.5,3.0,3.653,0.2736,0.2751,0.577,0.6014
243,A seahorse magician playing a tiny violin,0.840697,0.47211807635549996,0.8517715038,0.7646,3.5,0.625,4.0,3.0,3.7357,0.2703,0.2724,0.5631,0.5892
244,A tiny elephant holding a small telescope at a mountain lake at sunris,0.846438,0.495175702659875,0.8903017343755,0.7763,4.25,0.8125,4.0,4.5,3.8583,0.5067,0.5001,0.8892,0.8878
245,A hummingbird archer on a foggy harbor,0.838606,0.514469157373875,0.8774533497279999,0.7738,4.25,0.8125,4.5,4.0,3.8294,0.5013,0.4876,0.8844,0.875
246,A cat sailor reading tarot cards,0.82072,0.456612058044875,0.849863742462,0.7468,3.75,0.6875,4.5,3.0,3.5379,0.1395,0.1432,0.302,0.3492
247,A beetle carpenter in a neon nightclub,0.836113,0.45916973222987495,0.857974054558,0.759,2.75,0.4375,3.5,2.0,3.6768,0.2448,0.2473,0.5229,0.5506
248,A lemur perfumer baking sourdough,0.806432,0.491794061454875,0.841217861088,0.7433,4.0,0.75,4.5,3.5,3.4855,0.0987,0.0474,0.187,0.0
249,"A pufferfish building a birdhouse, in warm golden light",0.851898,0.49158544158199996,0.8794560740998749,0.7787,3.5,0.625,4.0,3.0,3.8914,0.4924,0.4969,0.8764,0.8864
250,A tiny giraffe holding a small telescope beside a waterfall,0.852334,0.464013151168,0.8937077036354999,0.7743,3.75,0.6875,4.5,3.0,3.8406,0.4421,0.4478,0.8067,0.8221
251,A kangaroo magician juggling glowing orbs,0.844211,0.490744815488,0.8904274549995,0.7738,3.25,0.5625,4.0,2.5,3.839,0.4781,0.4818,0.854,0.8643
252,"A goose sketching in a cafe in a desert at noon, in a whimsical cartoo",0.823568,0.489973036763875,0.877209091734875,0.7578,3.75,0.6875,4.5,3.0,3.6586,0.2978,0.3015,0.6244,0.6494
253,A crab watering a rooftop garden on a foggy harbor,0.84936,0.482790018721875,0.874338986539875,0.7747,3.0,0.5,3.5,2.5,3.8491,0.4319,0.4346,0.8025,0.8148
254,"A piglet racing a paper airplane in a snowy village, watercolor style",0.84925,0.45524002921987494,0.869905622274875,0.7685,4.25,0.8125,4.0,4.5,3.7744,0.3421,0.3378,0.6782,0.6914
255,A tiny ferret holding a ball of yarn on a wooden bridge,0.849495,0.4575133236355,0.881960391502,0.77,4.25,0.8125,4.0,4.5,3.7913,0.3851,0.3803,0.7377,0.7472
256,A cheerful axolotl jeweler with a paper airplane,0.847164,0.458956108878,0.853998017371875,0.7667,3.75,0.6875,3.5,4.0,3.7568,0.279,0.2811,0.5791,0.6043
257,A cheerful lamb wizard with a paper airplane,0.828252,0.4450646382048751,0.8625595,0.7508,3.75,0.6875,4.0,3.5,3.582,0.196,0.1975,0.434,0.4673
258,"A kangaroo surfing a big wave in a cherry blossom park, photorealistic",0.836215,0.489129637509875,0.8873125661395,0.7675,4.0,0.75,3.5,4.5,3.7634,0.413,0.408,0.7763,0.7835
259,A firefly weaver chasing fireflies,0.81947,0.41848717433987503,0.8484768547154999,0.7379,3.5,0.625,4.0,3.0,3.4413,0.0938,0.0981,0.1718,0.2323
260,"A otter surfing a big wave at a countryside fair, in a vintage storybo",0.841014,0.5019976943155,0.8703555059155,0.7724,4.0,0.75,3.5,4.5,3.8179,0.4402,0.4335,0.8104,0.8134
261,"A bear rowing across a misty lake on a foggy harbor, in a whimsical ca",0.83571,0.4837899471875,0.8588990471875,0.764,3.75,0.6875,4.0,3.5,3.7269,0.3047,0.3066,0.6192,0.6415
262,A cheerful panda blacksmith with a basket of apples,0.840407,0.4927713374555,0.896578967392,0.7719,2.75,0.4375,2.5,3.0,3.8265,0.4745,0.4809,0.8445,0.858
263,A badger and a elephant flying a kite in a storm,0.831605,0.485235205828875,0.8493483466155001,0.7606,3.75,0.6875,4.5,3.0,3.6901,0.2444,0.247,0.5187,0.5486
264,A cheerful squirrel archaeologist with a tiny umbrella,0.841688,0.43520861847187503,0.876984966063875,0.7594,3.75,0.6875,3.5,4.0,3.6771,0.2887,0.2905,0.5973,0.6209
265,"A axolotl repairing a pocket watch beside a waterfall, in warm golden ",0.832358,0.465801522378875,0.8498260443718749,0.7571,3.0,0.5,3.5,2.5,3.6566,0.2077,0.2097,0.4532,0.4863
266,A scorpion and a tiger feeding pigeons in a plaza,0.836149,0.4503858439875,0.8395627108738749,0.7559,3.75,0.6875,4.0,3.5,3.6379,0.1532,0.1572,0.3465,0.3914
267,A pony ice skating at night in a cherry blossom park,0.83874,0.43521567128800004,0.8875149749448751,0.758,3.5,0.625,3.5,3.5,3.6635,0.2975,0.2998,0.6085,0.6321
268,"A alpaca gardening on a balcony in a greenhouse, in a vintage storyboo",0.833197,0.460124711648,0.870347938339875,0.758,3.75,0.6875,4.5,3.0,3.662,0.267,0.2684,0.5726,0.5972
269,A scorpion chef under a starry sky,0.822642,0.49474005461950005,0.8734842088320001,0.7579,3.5,0.625,4.0,3.0,3.6628,0.2967,0.3015,0.6197,0.6465
270,A tiny peacock holding a glowing lantern on a rooftop at night,0.844766,0.4826410238,0.886586635742,0.7722,3.75,0.6875,4.0,3.5,3.8176,0.4431,0.4456,0.8142,0.8254
271,A badger folding origami cranes on a quiet beach at dusk,0.83936,0.4312924580955,0.8964194183755,0.7583,3.75,0.6875,4.5,3.0,3.6645,0.3055,0.3102,0.6202,0.6462
272,A tiny fox holding a steaming teacup on a floating island,0.84128,0.443548647712,0.879820330844875,0.7611,4.25,0.8125,5.0,3.5,3.6934,0.3078,0.3038,0.6285,0.6448
273,A hamster alchemist in a candlelit cafe,0.847044,0.48684091983987493,0.8938284057420001,0.7752,4.5,0.875,4.0,5.0,3.8447,0.4874,0.4801,0.8632,0.8625
274,"A narwhal stargazing on a rooftop in a desert at noon, with bold vivid",0.839472,0.4910112310795,0.8572790699874999,0.7681,3.5,0.625,3.5,3.5,3.7735,0.3418,0.3444,0.6708,0.6909
275,"A dog balancing on a tightrope, in soft pastel colors",0.853367,0.4634297735395,0.8787693187594999,0.7738,4.25,0.8125,4.5,4.0,3.8321,0.4092,0.4019,0.7701,0.7745
276,"A scorpion ice skating at night under a starry sky, in a vintage story",0.819472,0.46981525847187494,0.8811816715499999,0.7509,3.5,0.625,4.5,2.5,3.5862,0.2304,0.2357,0.5117,0.547
277,"A peacock blowing glass ornaments, in warm golden light",0.840034,0.402647899533875,0.8831712862755,0.7519,3.5,0.625,4.5,2.5,3.5964,0.2479,0.2574,0.5357,0.5754
278,A cheerful octopus mountaineer with a paper lantern,0.845177,0.49005397934487505,0.855309448942,0.7718,4.5,0.875,4.0,5.0,3.8068,0.3602,0.354,0.696,0.706
279,A cheerful lobster diver with a paper airplane,0.841245,0.46171328484887497,0.870030256721875,0.7641,3.5,0.625,4.0,3.0,3.7294,0.3152,0.3167,0.6444,0.6648
280,"A koala folding origami cranes, in a dreamy haze",0.845952,0.45803727047987497,0.8874537866688751,0.768,3.5,0.625,4.0,3.0,3.7724,0.3825,0.3848,0.7321,0.7481
281,A tiny hippo holding a jar of fireflies in an autumn park,0.841077,0.476555419193875,0.8802736622795,0.7678,4.75,0.9375,4.5,5.0,3.7661,0.382,0.3781,0.7424,0.7527
282,A tiny crow holding a slice of cake in a cherry blossom park,0.846573,0.46572793633549997,0.900006268832,0.7709,4.75,0.9375,4.5,5.0,3.7947,0.4263,0.4141,0.784,0.7818
283,A cheerful beaver florist with a slice of cake,0.846431,0.4416896335395,0.890475287604875,0.7651,4.0,0.75,4.0,4.0,3.7383,0.3547,0.3489,0.6912,0.7018
284,A firefly and a hamster picking apples in autumn,0.832258,0.452341540672,0.8761084448755,0.7561,3.5,0.625,3.5,3.5,3.6422,0.2625,0.2639,0.5643,0.5895
285,A tiny frog holding a slice of cake in a snowy village,0.843923,0.443202441742,0.8824061089580001,0.7631,4.0,0.75,4.5,3.5,3.7162,0.3277,0.3235,0.6562,0.6708
286,A dragonfly referee on a train platform,0.841237,0.453258186718875,0.876705146168,0.7628,3.5,0.625,4.5,2.5,3.7153,0.3168,0.3183,0.6462,0.6664
287,A ant astronomer beside a waterfall,0.821421,0.497481706808,0.8816900243194999,0.7581,4.0,0.75,4.0,4.0,3.6569,0.32,0.3018,0.651,0.6464
288,A tiny peacock holding a pocket watch on a foggy harbor,0.851241,0.47471805894200003,0.884361504448,0.7751,4.0,0.75,4.5,3.5,3.8474,0.4472,0.4412,0.8186,0.8221
289,A flamingo and a goose napping in a hammock,0.846805,0.447487265746875,0.890596209619875,0.7666,3.5,0.625,4.5,2.5,3.7578,0.3692,0.3722,0.7112,0.7292
290,A tiny walrus holding an old brass compass on a cliff overlooking the ,0.847265,0.46359441743950003,0.8805658613874999,0.7696,4.5,0.875,4.5,4.5,3.7861,0.3842,0.3801,0.7395,0.7496
291,A chinchilla ranger in an autumn park,0.827873,0.46973439496387503,0.8581758097448751,0.7553,3.75,0.6875,4.0,3.5,3.6321,0.2233,0.225,0.4853,0.5158
292,A moth potter at a countryside fair,0.81733,0.45625291279999997,0.852889093678,0.7445,4.0,0.75,4.5,3.5,3.5087,0.1332,0.115,0.2848,0.277
293,"A sloth fishing off a wooden pier, in a dreamy haze",0.84183,0.42717715655949995,0.8900376422794999,0.7588,4.5,0.875,4.0,5.0,3.6634,0.3039,0.2953,0.6183,0.6286
294,"A goat knitting a scarf in an enchanted forest, in gentle morning ligh",0.845957,0.45281157607800004,0.8923349539995,0.7673,3.25,0.5625,3.5,3.0,3.7662,0.3803,0.3835,0.7255,0.7431
295,A salamander and a chameleon sipping tea in a garden,0.841979,0.43646443962387504,0.8917042096538749,0.7609,3.75,0.6875,3.5,4.0,3.6937,0.3239,0.3269,0.6468,0.6689
296,"A octopus harvesting wildflowers, in warm golden light",0.837795,0.45326653567950004,0.876707693088,0.7604,4.0,0.75,4.5,3.5,3.6869,0.2974,0.294,0.6185,0.6361
297,A lemur and a wombat repairing a pocket watch,0.843697,0.43313624375550003,0.876740437349875,0.7604,3.25,0.5625,4.0,2.5,3.6907,0.2945,0.2965,0.6059,0.6292
298,"A flamingo ice skating at night, with bold vivid colors",0.835672,0.4635273058795,0.8588778774718749,0.7597,4.25,0.8125,3.5,5.0,3.6786,0.2546,0.2508,0.5403,0.5615
299,A sloth and a tiger reading a giant book,0.844048,0.4526792084955,0.881929839863875,0.7651,3.75,0.6875,4.5,3.0,3.7396,0.3457,0.3475,0.6847,0.7029
300,A tiny newt holding an old brass compass in an autumn park,0.838628,0.436329629173875,0.884962884989875,0.758,3.75,0.6875,4.5,3.0,3.6616,0.2937,0.2957,0.6037,0.6271
301,A jellyfish and a moth solving a crossword,0.829287,0.433871462746875,0.8741031661195,0.75,3.25,0.5625,4.0,2.5,3.5769,0.2154,0.2171,0.4734,0.5047
302,A beaver and a peacock harvesting wildflowers,0.845277,0.4389043274875,0.890829750453875,0.7638,3.5,0.625,2.5,4.5,3.7264,0.344,0.3469,0.676,0.6962
303,A scorpion coach in a coral reef,0.827279,0.432736713699875,0.8640957625579999,0.7476,3.25,0.5625,3.0,3.5,3.5507,0.1795,0.1813,0.3989,0.4352
304,A spider and a flamingo feeding pigeons in a plaza,0.833315,0.440724537421875,0.8694175652555001,0.754,3.0,0.5,4.0,2.0,3.6207,0.2338,0.2352,0.5079,0.5365
305,A wombat picking apples in autumn in a sunflower field,0.838511,0.440103687634875,0.8610862188155,0.757,3.25,0.5625,3.0,3.5,3.6532,0.2335,0.235,0.5037,0.5326
306,"A lemur playing a tiny violin on a rainy street, watercolor style",0.852346,0.49569678355,0.869967030284875,0.7792,4.0,0.75,4.5,3.5,3.8926,0.4782,0.4703,0.8563,0.8554
307,A tiny pufferfish holding an old brass compass at a mountain lake at s,0.847462,0.4565104647755,0.866337447621875,0.7673,3.75,0.6875,4.0,3.5,3.7632,0.3245,0.3264,0.652,0.6723
